feat,model,nf,R2,RMSE,fold_sd
[전공정] RF3만,Ridge(a=0.1),3,0.7697026765873572,0.18989880454110195,0.04332109076452096
[전공정] RF3만,RidgeCV,3,0.7678116357606286,0.19067686877444387,0.04444613198793376
[전공정] RF3만,LassoCV,3,0.7682454381062841,0.1904986627209651,0.04419381740967
[전공정] RF3만,ElasticNetCV,3,0.7680291511849779,0.19058753424155955,0.044325935492739575
[전공정] RF3만,PLS(k=1),3,0.5732988684398976,0.2584875812850015,0.08792762884694567
[전공정] RF3만,PLS(k=2),3,0.6452312258477755,0.23569505949351896,0.10573447979866456
[전공정] RF3만,PLS(k=3),3,0.7698589439549418,0.18983436605453166,0.043218620020414364
[전공정] RF3만,GPR-RBF,3,0.838860304618736,0.1588470137377028,0.030259278159516702
[전공정] RF3만,GPR-Matern,3,0.8398587245886665,0.15835414182555713,0.03232564367502271
[전공정] RF3만,SVR-RBF,3,0.7824272879340068,0.18457802647611524,0.04053936008423033
[전공정] RF3만,RandomForest,3,0.7292573775895211,0.20589988359837189,0.038093652919407445
[전공정] RF3만,GBR,3,0.7374856015711803,0.20274695941187718,0.04573946206872447
[전공정] RF3만,"MLP(32,16)",3,-455.92351306064614,8.458620471747466,7.272691740767233
[전공정] 전체27+순서,Ridge(a=0.1),28,-1.778825788532707,0.6596422218432338,0.5502476801827254
[전공정] 전체27+순서,RidgeCV,28,-0.9128423356571527,0.547289823880065,0.44399691651329576
[전공정] 전체27+순서,LassoCV,28,0.9325415294364646,0.10277702225501036,0.02035390569750753
[전공정] 전체27+순서,ElasticNetCV,28,0.9320620343743754,0.10314164519707882,0.020498373032132977
[전공정] 전체27+순서,PLS(k=1),28,-16.202423809327648,1.6412419426283955,1.395925207666341
[전공정] 전체27+순서,PLS(k=2),28,-12.209031791366629,1.4381801101841607,1.2192950031990624
[전공정] 전체27+순서,PLS(k=3),28,-0.05842853770202172,0.4071069869318346,0.301988854508368
[전공정] 전체27+순서,PLS(k=5),28,0.8658508049403614,0.14493451483505895,0.05903772037989951
[전공정] 전체27+순서,PLS(k=8),28,-6.695861570320198,1.0977574903502951,0.9386627146280488
[전공정] 전체27+순서,GPR-RBF,28,0.8615910364829571,0.14721765434270984,0.048153534932880784
[전공정] 전체27+순서,GPR-Matern,28,0.9164141413495516,0.11440478508612534,0.042301282170085115
[전공정] 전체27+순서,SVR-RBF,28,0.859946541588169,0.14808964917780013,0.03895477378747422
[전공정] 전체27+순서,RandomForest,28,0.8260538632217664,0.16503846642490239,0.03646059916406378
[전공정] 전체27+순서,GBR,28,0.8705424025959558,0.14237756358631637,0.03917540567260204
[전공정] 전체27+순서,"MLP(32,16)",28,-357124.7728968176,236.47671411650293,208.32561502072895
[기준] 순서만,Ridge,1,0.7018972347920017,0.21605324213588648,0.034854376437587806
